#,date,month,type,category,debit amount,credit amount,balance
1,02/01/2018,January,debit,Savings,1.16,,389.43
2,02/01/2018,January,debit,Savings,100,,289.43
3,02/01/2018,January,debit,Bills,20.52,,268.91
4,02/01/2018,January,credit,Income (passive),,1.58,270.49
5,02/01/2018,January,debit,Groceries,20,,250.49
6,02/01/2018,January,debit,Clothing,35,,215.49
7,02/01/2018,January,debit,Bills,42,,173.49
8,02/01/2018,January,debit,Clothing,45,,128.49
9,02/01/2018,January,debit,Healthcare,127.5,,0.99
10,02/01/2018,January,debit,Groceries,6.7,,-5.71
11,02/01/2018,January,debit,Going Out,2.99,,-8.7
12,03/01/2018,January,debit,Transport,5.2,,-13.9
13,03/01/2018,January,debit,Going Out,5.99,,-19.89
14,04/01/2018,January,debit,Groceries,4.55,,-24.44
15,05/01/2018,January,debit,Transport,5.2,,-29.64
16,05/01/2018,January,debit,Rent,25.99,,-55.63
17,05/01/2018,January,debit,Groceries,0.9,,-56.53
18,05/01/2018,January,debit,Transport,5.2,,-61.73
19,08/01/2018,January,debit,Entertainment,19.03,,-80.76
20,08/01/2018,January,debit,Coffee,2.2,,-82.96
21,08/01/2018,January,debit,Going Out,6.48,,-89.44
22,08/01/2018,January,debit,Transport,8.6,,-98.04
23,08/01/2018,January,debit,Going Out,11.49,,-109.53
24,09/01/2018,January,debit,Going Out,12.59,,-122.12
25,09/01/2018,January,credit,Income (passive),,1000,877.88
26,09/01/2018,January,debit,Going Out,1.29,,876.59
27,09/01/2018,January,debit,Groceries,2.35,,874.24
28,09/01/2018,January,debit,Transport,3.4,,870.84
29,10/01/2018,January,debit,Savings,2.37,,868.47
30,10/01/2018,January,debit,Going Out,6.87,,861.6
31,10/01/2018,January,debit,Coffee,2.68,,858.92
32,11/01/2018,January,debit,Savings,0.45,,858.47
33,11/01/2018,January,debit,Transport,5.2,,853.27
34,11/01/2018,January,debit,Coffee,5.25,,848.02
35,12/01/2018,January,debit,Savings,1.55,,846.47
36,12/01/2018,January,debit,Coffee,5.65,,840.82
37,12/01/2018,January,debit,Transport,8.6,,832.22
38,12/01/2018,January,debit,Groceries,6.25,,825.97
39,12/01/2018,January,debit,Transport,8.6,,817.37
40,15/01/2018,January,debit,Healthcare,4.98,,812.39
41,15/01/2018,January,debit,Healthcare,210,,602.39
42,15/01/2018,January,debit,Savings,1.92,,600.47
43,15/01/2018,January,debit,Others,40,,560.47
44,15/01/2018,January,debit,Transport,5.2,,555.27
45,15/01/2018,January,debit,Coffee,5.85,,549.42
46,15/01/2018,January,debit,Entertainment,5.99,,543.43
47,16/01/2018,January,debit,Savings,0.96,,542.47
48,16/01/2018,January,debit,Going Out,5.95,,536.52
49,16/01/2018,January,debit,Clothing,39,,497.52
50,16/01/2018,January,debit,Transport,3.4,,494.12
51,16/01/2018,January,debit,Groceries,8.7,,485.42
52,17/01/2018,January,debit,Savings,0.95,,484.47
53,17/01/2018,January,debit,Going Out,5.25,,479.22
54,17/01/2018,January,debit,Healthcare,6.38,,472.84
55,17/01/2018,January,debit,Coffee,2.1,,470.74
56,18/01/2018,January,debit,Savings,2.27,,468.47
57,18/01/2018,January,debit,Transport,8.6,,459.87
58,18/01/2018,January,debit,Entertainment,7.99,,451.88
59,18/01/2018,January,debit,Transport,8.6,,443.28
60,19/01/2018,January,debit,Savings,0.81,,442.47
61,19/01/2018,January,debit,Going Out,4.97,,437.5
62,19/01/2018,January,debit,Transport,5.2,,432.3
63,19/01/2018,January,debit,Going Out,5.67,,426.63
64,19/01/2018,January,debit,Others,8,,418.63
65,22/01/2018,January,debit,Healthcare,3.59,,415.04
66,22/01/2018,January,debit,Coffee,8.85,,406.19
67,22/01/2018,January,debit,Savings,1.72,,404.47
68,22/01/2018,January,debit,Transport,3.4,,401.07
69,22/01/2018,January,debit,Transport,5.2,,395.87
70,22/01/2018,January,debit,Clothing,15.5,,380.37
71,22/01/2018,January,debit,Clothing,15.7,,364.67
72,22/01/2018,January,debit,Healthcare,19,,345.67
73,23/01/2018,January,debit,Savings,2.2,,343.47
74,23/01/2018,January,debit,Groceries,9.9,,333.57
75,23/01/2018,January,debit,Going Out,14.25,,319.32
76,23/01/2018,January,debit,Clothing,43.5,,275.82
77,23/01/2018,January,debit,Coffee,1.6,,274.22
78,23/01/2018,January,debit,Transport,5.2,,269.02
79,23/01/2018,January,debit,Going Out,7.9,,261.12
80,24/01/2018,January,debit,Savings,2.65,,258.47
81,24/01/2018,January,debit,Groceries,16.15,,242.32
82,25/01/2018,January,debit,Savings,0.85,,241.47
83,25/01/2018,January,debit,Going Out,2.99,,238.48
84,26/01/2018,January,debit,Savings,0.01,,238.47
85,26/01/2018,January,debit,Transport,3.4,,235.07
86,26/01/2018,January,debit,Going Out,3.34,,231.73
